word_id,sent_id,is_primary
ab-p,g-ab-p,1
abend-n,t6062,1
aber-c,t3778694,1
abfahren-v,t1171,1
abfahrt-n,g-abfahrt-n,1
abfliegen-v,g-abfliegen-v,1
abflug-n,t11810967,1
abgeben-v,t6822346,1
abholen-v,t2601707,1
absender-n,g-absender-n,1
acht-o,t345384,1
achtung-n,t6032927,1
achtzehn-o,t1800008,1
achtzig-o,t8963221,1
adresse-n,t1493422,1
all-o,t415187,1
alle-p,t601463,1
allein-o,t1924996,1
alleine-o,t3543776,1
alles-p,t447,1
also-c,t6622494,1
alt-a,t406765,1
alter-n,t352804,1
am-o,t366349,1
an-p,t440125,1
an-a,t503,1
anbieten-v,t1976920,1
ander-o,g-ander-o,1
anfang-n,t1948702,1
anfangen-v,t349793,1
angebot-n,t2510431,1
anklicken-v,g-anklicken-v,1
ankommen-v,g-ankommen-v,1
ankreuzen-v,t12191855,1
ankunft-n,g-ankunft-n,1
anmachen-v,t1809144,1
anmelden-v,t6303229,1
anmeldung-n,t5974,1
anrede-n,g-anrede-n,1
anruf-n,t1818300,1
anrufbeantworter-n,t8671512,1
anrufen-v,t119746,1
ansage-n,t4925135,1
anschluss-n,t645455,1
antwort-n,t3377571,1
antworten-v,g-antworten-v,1
anzeige-n,g-anzeige-n,1
anziehen-v,g-anziehen-v,1
apartment-n,t1503665,1
apfel-n,t338278,1
appartement-n,g-appartement-n,1
appetit-n,t6323951,1
april-n,t1342833,1
arbeit-n,t378297,1
arbeiten-v,t3367022,1
arbeitslos-a,t10727386,1
arbeitsplatz-n,g-arbeitsplatz-n,1
arm-n,t6181,1
arzt-n,t477555,1
auch-c,g-auch-c,1
auf-p,t396612,1
auf-sein-v,g-auf-sein-v,1
aufgabe-n,t2911818,1
aufhoeren-v,t15773,1
aufstehen-v,t362239,1
aufzug-n,t363317,1
auge-n,t549905,1
august-n,t10068256,1
aus-p,t2515617,1
aus-a,t2515617,1
aus-sein-v,g-aus-sein-v,1
ausflug-n,t1314882,1
ausfuellen-v,t345353,1
ausgang-n,t182041,1
auskunft-n,t12205268,1
ausland-n,t2094665,1
auslaender-n,t341581,1
auslaendisch-a,t7636844,1
ausmachen-v,g-ausmachen-v,1
aussage-n,t13745345,1
aussehen-v,g-aussehen-v,1
aussteigen-v,g-aussteigen-v,1
ausweis-n,t520007,1
ausziehen-v,g-ausziehen-v,1
auto-n,t501349,1
autobahn-n,g-autobahn-n,1
automat-n,t738115,1
automatisch-a,t3643121,1
baby-n,t603683,1
bad-n,g-bad-n,1
baden-v,t2973521,1
bahn-n,t362125,1
bahnhof-n,t3541463,1
bahnsteig-n,t3160393,1
bald-a,t1223806,1
balkon-n,t356658,1
banane-n,t5265649,1
bank-n,t715107,1
bar-a,t2272199,1
bauch-n,t1514970,1
baum-n,t2770789,1
beamte-n,g-beamte-n,1
bedeuten-v,t2233499,1
beginnen-v,t411750,1
bei-p,t6126,1
beide-o,t1897999,1
bein-n,t978179,1
beispiel-n,t397497,1
bekannt-o,t3348625,1
bekannte-n,t3680749,1
bekommen-v,t2223455,1
benutzen-v,t403705,1
beruf-n,t8060560,1
besetzt-o,t406918,1
besichtigen-v,t5988781,1
besser-o,t415185,1
best-o,g-best-o,1
bestellen-v,t551556,1
besuchen-v,t768970,1
bett-n,t476098,1
bezahlen-v,t1327941,1
bier-n,t2300432,1
bild-n,t2858944,1
billig-a,t8093186,1
birne-n,t8641921,1
bis-o,t1164005,1
bisschen-a,t338304,1
bitte-n,g-bitte-n,1
bitte-p,t6094,1
bitten-v,g-bitten-v,1
bitter-a,t1133943,1
blau-a,t415185,1
bleiben-v,t344,1
bleistift-n,t403705,1
blick-n,t362203,1
blume-n,t415187,1
bogen-n,t2171599,1
brauchen-v,t788193,1
braun-a,t353658,1
breit-a,t450735,1
brief-n,t6120,1
briefmarke-n,t345248,1
bringen-v,t1248,1
brot-n,t1391330,1
bruder-n,t5187406,1
broetchen-n,t6619416,1
buch-n,t404126,1
buchstabe-n,t942953,1
buchstabieren-v,t3006093,1
bus-n,t450598,1
butter-n,t1844120,1
baeckerei-n,t11219831,1
boes-a,g-boes-a,1
boese-a,t2342983,1
cafe-n,g-cafe-n,1
cd-n,t2633939,1
cent-n,t12885949,1
chef-n,t2599882,1
circa-a,t940453,1
computer-n,t813,1
da-a,t6569366,1
daneben-o,g-daneben-o,1
dank-n,g-dank-n,1
danke-p,t789796,1
danken-v,t2081896,1
dann-a,t129,1
das-o,t6095,1
datum-n,t451354,1
dauern-v,t362158,1
dein-o,t307,1
deine-o,t1071851,1
denn-c,t3388894,1
der-o,t328,1
deutsch-a,t590,1
deutsche-n,t6218277,1
deutschland-n,t1010501,1
dezember-n,t408411,1
dich-p,t424274,1
die-o,t6094,1
dienstag-n,t399776,1
dir-p,t415185,1
doktor-n,t835883,1
donnerstag-n,g-donnerstag-n,1
doppelzimmer-n,t3543780,1
dorf-n,t407713,1
dort-a,g-dort-a,1
draussen-a,t839,1
drei-o,t589939,1
dreizehn-o,t551579,1
dreissig-o,t3406013,1
dritte-o,t2138885,1
drucken-v,t810398,1
drucker-n,t4062651,1
druecken-v,t362807,1
durch-p,g-durch-p,1
durchsage-n,t7128531,1
durst-n,t413628,1
dusche-n,t7534716,1
duschen-v,t901308,1
duerfen-v,t596938,1
e-mail-n,g-e-mail-n,1
ecke-n,t440125,1
ehefrau-n,t782663,1
ehemann-n,t3614321,1
ei-n,t369,1
eilig-a,t1314923,1
ein-o,g-ein-o,1
